127.0.0.1 - - [28/Dec/2017:15:05:15 +0800] "GET / HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:12 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 6683
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:12 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:12 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:12 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [28/Dec/2017:15:06:13 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
