0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:35:55 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:05 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:22 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:27 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:27 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/default/datepicker.css HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:27 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/calendar.js HTTP/1.1" 200 22544
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:27 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/default/img.gif HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:36:56 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:37:31 +0800] "GET /rupeng-admin-prototype/page/classesUser/update.html HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:38:00 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:38:14 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:38:16 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:38:54 +0800] "GET /rupeng-admin-prototype/page/card/add.html HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:38:56 +0800] "GET /rupeng-admin-prototype/page/card/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:41:35 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/css/style.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 200 12168
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/css/H-ui.admin.css HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/layer.js HTTP/1.1" 200 14952
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/css/H-ui.min.css HTTP/1.1" 200 100998
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/skin/default/skin.css HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/js/H-ui.js HTTP/1.1" 200 19561
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/js/H-ui.admin.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/js/common.js HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/Hui-iconfont/1.0.1/iconfont.woff HTTP/1.1" 200 62672
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/welcome.html HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/layer.css HTTP/1.1" 200 11508
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/images/acrossTab-2.png HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/images/loading.gif HTTP/1.1" 200 8476
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:00 +0800] "GET /rupeng-admin-prototype/skin/default/icon_arrow.png HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:01 +0800] "GET /rupeng-admin-prototype/images/acrossTab-close.png HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:01 +0800] "GET /rupeng-admin-prototype/page/card/list.html HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:04 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:04 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2/laypage.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:04 +0800] "GET /rupeng-admin-prototype/lib/laypage/1.2//skin/laypage.css HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:04 +0800] "GET /rupeng-admin-prototype/lib/My97DatePicker/skin/datePicker.gif HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:08 +0800] "GET /rupeng-admin-prototype/page/classes/list.html HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:42:20 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:44:20 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 200 12527
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:44:20 +0800] "GET /rupeng-admin-prototype/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:44:20 +0800] "GET /rupeng-admin-prototype/page/subject/update.html HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:44:21 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:44:25 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:45:51 +0800] "GET /rupeng-admin-prototype/page/subject/add.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:45:52 +0800] "GET /rupeng-admin-prototype/page/subject/list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2017:19:45:54 +0800] "GET /rupeng-admin-prototype/page/user/list.html HTTP/1.1" 304 -
